Z;L(x10^30)(ergs^-1 Hz^-1);Probability;Probability MaxEnt
0.49;13.70;3.32 × 10^−3;3.84 × 10^−4
0.49;10.42;6.336 × 10^−3;1.89 × 10^−3
0.49;7.90;1.00 × 10^−2;6.36 × 10^−3
0.49;5.60;1.55 × 10^−2;1.59 × 10^−2
0.49;4.55;2.83 × 10^−2;3.20 × 10^−2
0.49;3.45;4.70 × 10^−2;5.42 × 10^−2
0.49;2.62;6.95 × 10^−2;8.09 × 10^−2
0.49;1.99;1.08 × 10^−1;1.10 × 10^−1
0.49;1.51;1.52 × 10^−1;1.38 × 10^−1
0.49;1.14;1.96 × 10^−1;1.65 × 10^−1
0.49;0.87;2.83 × 10^−1;1.88 × 10^−1
0.49;0.66;8.16 × 10^−2;2.08 × 10^−1
0.87;41.50;9.74 × 10^− 4;1.07 × 10^−2
0.87;31.50;3.70 × 10^− 3;2.07 × 10^−2
0.87;23.90;5.61 × 10^− 3;3.40 × 10^−2
0.87;18.10;1.23 × 10^− 2;4.96 × 10^−2
0.87;13.70;2.62 × 10^− 2;6.61 × 10^−2
0.87;10.40;3.46 × 10^− 2;8.21 × 10^−2
0.87;7.91;5.74 × 10^− 2;9.69 × 10^−2
0.87;5.60;9.09 × 10^− 2;1.10 × 10^−1
0.87;4.55;1.2 × 10^− 1;1.21 × 10^−1
0.87;3.45;1.419 × 10^− 1;1.30 × 10^−1
0.87;2.62;1.77 × 10^− 1;1.37 × 10^−1
0.87;1.99;3.30 × 10^− 1;1.43 × 10^−1
1.25;72.10;1.69 × 10^− 3;2.79 × 10^−3
1.25;54.70;3.29 × 10^− 3;8.38 × 10^−3
1.25;41.50;4.14 × 10^− 3;1.93 × 10^−2
1.25;31.50;1.04 × 10^− 2;3.63 × 10^−2
1.25;23.90;1.98 × 10^− 2;5.87 × 10^−2
1.25;18.10;3.52 × 10^− 2;8.45 × 10^−2
1.25;13.70;6.27 × 10^− 2;1.11 × 10^−1
1.25;10.40;1.11 × 10^− 1;1.37 × 10^−1
1.25;7.90;1.37 × 10^− 1;1.61 × 10^−1
1.25;5.60;1.807 × 10^− 1;1.82 × 10^−1
1.25;4.55;4.33 × 10^− 1;1.99 × 10^−1
1.63;125.00;2.57 × 10^− 3;1.55 × 10^−4
1.63;95.00;3.79 × 10^− 3;1.14 × 10^−3
1.63;72.10;7.57 × 10^− 3;5.20 × 10^−3
1.63;54.70;1.86 × 10^− 2;1.64 × 10^−2
1.63;41.50;3.46 × 10^− 2;3.93 × 10^−2
1.63;31.50;6.30 × 10^− 2;7.61 × 10^−2
1.63;23.90;1.07 × 10^− 1;1.26 × 10^−1
1.63;18.10;1.82 × 10^− 1;1.84 × 10^−1
1.63;13.70;2.51 × 10^− 1;2.46 × 10^−1
1.63;10.40;3.31 × 10^− 1;3.06 × 10^−1
2.01;165.00;1.65 × 10^− 3;4.48 × 10^−3
2.01;125.00;4.87 × 10^− 3;1.25 × 10^−2
2.01;95.00;7.54 × 10^− 3;2.71 × 10^−2
2.01;72.00;1.81 × 10^− 2;4.89 × 10^−2
2.01;54.70;3.00 × 10^− 2;7.65 × 10^−2
2.01;41.50;5.72 × 10^− 2;1.07 × 10^−1
2.01;31.50;9.06 × 10^− 2;1.39 × 10^−1
2.01;23.90;1.50 × 10^− 1;1.69 × 10^−1
2.01;18.10;2.44 × 10^− 1;1.96 × 10^−1
2.01;13.70;3.96 × 10^− 1;2.19 × 10^−1
2.4;165.00;6.57 × 10^− 3;7.35 × 10^−3
2.4;125.00;8.08 × 10^− 3;2.07 × 10^−2
2.4;95.00;2.22 × 10^− 2;4.56 × 10^−2
2.4;72.00;4.44 × 10^− 2;8.28 × 10^−2
2.4;54.70;7.71 × 10^− 2;1.30 × 10^−1
2.4;41.50;1.31 × 10^− 1;1.84 × 10^−1
2.4;31.50;2.12 × 10^− 1;2.39 × 10^−1
2.4;23.90;4.98 × 10^− 1;2.91 × 10^−1
2.8;274.00;1.04 × 10^− 2;3.64 × 10^−3
2.8;218.00;1.77 × 10^− 2;1.09 × 10^−2
2.8;165.00;3.21 × 10^− 2;3.01 × 10^−2
2.8;125.00;4.34 × 10^− 2;6.53 × 10^−2
2.8;95.00;8.65 × 10^− 2;1.17 × 10^−1
2.8;72.10;1.81 × 10^− 1;1.83 × 10^−1
2.8;54.70;3.00 × 10^− 1;2.57 × 10^−1
2.8;41.50;3.29 × 10^− 1;3.32 × 10^−1
3.25;287.00;4.09 × 10^− 3;4.64 × 10^−4
3.25;218.00;7.11 × 10^− 3;2.32 × 10^−3
3.25;165.00;6.63 × 10^− 3;7.85 × 10^−3
3.25;125.00;1.63 × 10^− 2;2.00 × 10^−2
3.25;95.00;3.25 × 10^− 2;3.99 × 10^−2
3.25;72.10;4.80 × 10^− 2;6.80 × 10^−2
3.25;54.70;6.79 × 10^− 2;1.02 × 10^−1
3.25;41.50;1.15 × 10^− 1;1.38 × 10^−1
3.25;31.50;1.45 × 10^− 1;1.75 × 10^−1
3.25;23.90;2.25 × 10^− 1;2.08 × 10^−1
3.25;18.10;3.32 × 10^− 1;2.38 × 10^−1
3.75;165.00;1.65 × 10^− 2;1.14 × 10^−2
3.75;125.00;2.74 × 10^− 2;2.78 × 10^−2
3.75;95.00;6.42 × 10^− 2;5.48 × 10^−2
3.75;72.10;6.57 × 10^− 2;9.16 × 10^−2
3.75;54.70;1.04 × 10^− 1;1.35 × 10^−1
3.75;41.49;1.54 × 10^− 1;1.82 × 10^−1
3.75;31.50;1.98 × 10^− 1;2.28 × 10^−1
3.75;23.90;3.69 × 10^− 1;2.70 × 10^−1
4.25;218.00;4.65 × 10^− 2;4.22 × 10^−2
4.25;125.00;9.28 × 10^− 2;1.11 × 10^−1
